opportunity_code;company_code;contact_code;description;amount_eur;legacy_status;opened_on;expected_close_on;historical_campaign_code;fair_edition_code;stand_area_sqm;client_budget_eur;requested_height_m;brief_notes
OP001218;CO005343;CO005343-P01;Exhibition stand with lockable storage;20400,00;QUALIFIED;09/08/2026;;CMP-2024-WEB;FOOD-2026;48,00;22440,00;3,00;Display cases and a small store. Budget covers design, fabrication, installation and dismantling.
OP001219;CO003262;CO003262-P02;Stand refurbishment and installation;52000,00; open ;31/05/2026;13/05/2027;CMP-2024-WEB;BEAUTY-2027;80,00;57200,00;4,00;Reception counter, product shelves and a lockable store. Artwork to follow from the agency.
OP001220;CO001181;CO001181-P03;Island stand for distributor meetings;51200,00;Won;01/06/2026;22/09/2027;CMP-2025-EVENT;PACK-2027;64,00;46080,00;3,00;Display cases and a small store. Budget covers design, fabrication, installation and dismantling.
OP001221;CO009100;CO009100-P02;Exhibition stand with lockable storage;156000,00; proposal ;30/05/2026;15/09/2027;CMP-2024-WEB;LIVING-2027;;140400,00;3,00;Reception counter, product shelves and a lockable store. Artwork to follow from the agency.
OP001222;CO007019;CO007019-P02;Two-brand stand with shared reception;84000,00;OPEN;30/06/2026;16/11/2027;;FOOD-2027;240,00;84000,00;3,50;Reception counter, product shelves and a lockable store. Artwork to follow from the agency.
OP001223;CO004938;CO004938-P01;Custom stand for product launch;28000,00;Lost;20/01/2024;16/05/2024;;BEAUTY-2024;80,00;30800,00;4,00;Meeting area and illuminated backdrop. Keep the graphics reusable for the next edition.
OP001224;CO002857;;Modular stand with new graphics;62400,00;Lost;21/06/2024;27/09/2024;;PACK-2024;96,00;62400,00;4,00;Two open meeting tables, sample display and storage. Client wants to reuse last year's furniture.
OP001225;CO000776;CO000776-P02;Modular stand with new graphics;51000,00; lost ;01/04/2024;06/10/2024;CMP-2025-REF;LIVING-2024;120,00;51000,00;3,50;Shared reception for two brands, with separate graphics. One invoice to the main exhibitor.
OP001226;CO008695;CO008695-P01;Stand refurbishment and installation;62400,00;Lost;16/03/2024;20/11/2024;CMP-2025-REF;FOOD-2024;96,00;68640,00;4,00;Meeting area and illuminated backdrop. Keep the graphics reusable for the next edition.
OP001227;CO006614;CO006614-P01;Island stand for distributor meetings;20400,00;WON;23/10/2024;15/05/2025;CMP-2024-WEB;BEAUTY-2025;48,00;18360,00;4,00;Meeting area and illuminated backdrop. Keep the graphics reusable for the next edition.
OP001228;CO004533;CO004533-P01;Stand refurbishment and installation;64000,00;Won;28/03/2025;20/09/2025;CMP-2025-EVENT;PACK-2025;80,00;70400,00;4,00;Shared reception for two brands, with separate graphics. One invoice to the main exhibitor.
OP001229;CO002452;CO002452-P02;Corner stand with demonstration counter;104000,00;Lost;11/04/2025;25/10/2025;CMP-2025-REF;LIVING-2025;160,00;104000,00;3,50;Two open meeting tables, sample display and storage. Client wants to reuse last year's furniture.
OP001230;CO000371;CO000371-P01;Two-brand stand with shared reception;104000,00;WON;16/07/2025;06/11/2025;CMP-2026-OUT;FOOD-2025;160,00;;4,00;Demonstration counter at the front. Power requirements to be confirmed by the exhibitor.
OP001231;CO008290;CO008290-P02;Stand refurbishment and installation;78000,00; lost ;13/10/2025;03/06/2026;CMP-2026-OUT;BEAUTY-2026;120,00;78000,00;3,00;Shared reception for two brands, with separate graphics. One invoice to the main exhibitor.
OP001232;CO006209;CO006209-P03;Exhibition stand with lockable storage;16000,00;Open;12/04/2026;27/09/2026;;PACK-2026;32,00;17600,00;4,00;Two open meeting tables, sample display and storage. Client wants to reuse last year's furniture.
OP001233;CO004128;CO004128-P01;Modular stand with new graphics;84000,00;Open;09/08/2026;21/10/2026;CMP-2025-REF;LIVING-2026;240,00;92400,00;3,50;Two open meeting tables, sample display and storage. Client wants to reuse last year's furniture.
OP001234;CO002047;CO002047-P01;Island stand for distributor meetings;56000,00;QUALIFIED;06/03/2026;22/10/2026;CMP-2025-EVENT;FOOD-2026;160,00;56000,00;4,00;Meeting area and illuminated backdrop. Keep the graphics reusable for the next edition.
OP001235;CO009966;CO009966-P01;Stand refurbishment and installation;16000,00;WON;09/04/2026;18/05/2027;;BEAUTY-2027;32,00;14400,00;4,00;Meeting area and illuminated backdrop. Keep the graphics reusable for the next edition.
OP001236;CO007885;CO007885-P01;Modular stand with new graphics;80000,00;Won;22/08/2026;01/10/2027;CMP-2025-REF;PACK-2027;160,00;72000,00;3,50;Display cases and a small store. Budget covers design, fabrication, installation and dismantling.
OP001237;CO005804;CO005804-P02;Island stand for distributor meetings;60000,00; lost ;22/07/2026;23/10/2027;CMP-2024-WEB;LIVING-2027;120,00;66000,00;3,00;Demonstration counter at the front. Power requirements to be confirmed by the exhibitor.
OP001238;CO003723;CO003723-P01;Stand refurbishment and installation;104000,00;WON;17/06/2026;16/10/2027;CMP-2026-OUT;FOOD-2027;160,00;104000,00;4,00;Meeting area and illuminated backdrop. Keep the graphics reusable for the next edition.
OP001239;CO001642;CO001642-P02;Corner stand with demonstration counter;16000,00;WON;03/01/2024;08/05/2024;CMP-2026-OUT;BEAUTY-2024;32,00;17600,00;3,50;Demonstration counter at the front. Power requirements to be confirmed by the exhibitor.
OP001240;CO009561;CO009561-P01;Corner stand with demonstration counter;32000,00;Won;20/03/2024;09/09/2024;CMP-2025-EVENT;PACK-2024;64,00;28800,00;3,00;Reception counter, product shelves and a lockable store. Artwork to follow from the agency.
OP001241;CO007480;;Exhibition stand with lockable storage;80000,00;WON;05/08/2024;03/10/2024;CMP-2025-REF;LIVING-2024;160,00;72000,00;3,50;Display cases and a small store. Budget covers design, fabrication, installation and dismantling.
OP001242;CO005399;CO005399-P01;Reuse of last edition's stand;28000,00;Lost;30/07/2024;14/11/2024;CMP-2024-WEB;FOOD-2024;80,00;30800,00;3,50;Reception counter, product shelves and a lockable store. Artwork to follow from the agency.
OP001243;CO003318;CO003318-P01;Reuse of last edition's stand;48000,00;WON;29/01/2025;03/06/2025;CMP-2026-OUT;BEAUTY-2025;96,00;52800,00;3,00;Reception counter, product shelves and a lockable store. Artwork to follow from the agency.
OP001244;CO001237;CO001237-P01;Modular stand with new graphics;76800,00;Lost;05/06/2025;13/09/2025;CMP-2026-OUT;PACK-2025;96,00;69120,00;3,00;Meeting area and illuminated backdrop. Keep the graphics reusable for the next edition.
OP001245;CO009156;CO009156-P01;Corner stand with demonstration counter;64000,00; lost ;30/04/2025;12/10/2025;CMP-2026-OUT;LIVING-2025;80,00;64000,00;3,00;Shared reception for two brands, with separate graphics. One invoice to the main exhibitor.
OP001246;CO007075;CO007075-P01;Stand refurbishment and installation;80000,00; lost ;16/08/2025;01/11/2025;CMP-2025-REF;FOOD-2025;160,00;88000,00;4,00;Two open meeting tables, sample display and storage. Client wants to reuse last year's furniture.
OP001247;CO004994;CO004994-P03;Exhibition stand with lockable storage;51000,00;WON;11/01/2026;;;BEAUTY-2026;120,00;45900,00;;Reception counter, product shelves and a lockable store. Artwork to follow from the agency.
OP001248;CO002913;CO002913-P01;Stand refurbishment and installation;51000,00; lost ;15/02/2026;06/09/2026;CMP-2026-OUT;PACK-2026;120,00;45900,00;3,50;Display cases and a small store. Budget covers design, fabrication, installation and dismantling.
OP001249;CO000832;CO000832-P02;Exhibition stand with lockable storage;28000,00;QUALIFIED;21/06/2026;24/09/2026;CMP-2024-WEB;LIVING-2026;80,00;30800,00;3,00;Shared reception for two brands, with separate graphics. One invoice to the main exhibitor.
OP001250;CO008751;CO008751-P01;Stand refurbishment and installation;76800,00;Open;12/03/2026;21/11/2026;CMP-2025-REF;FOOD-2026;96,00;69120,00;3,00;Display cases and a small store. Budget covers design, fabrication, installation and dismantling.
OP001251;CO006670;CO006670-P02;Modular stand with new graphics;192000,00;Qualified;19/03/2026;26/04/2027;CMP-2025-REF;BEAUTY-2027;240,00;211200,00;4,00;Display cases and a small store. Budget covers design, fabrication, installation and dismantling.
OP001252;CO004589;CO004589-P02;Reuse of last edition's stand;48000,00; qualified ;15/04/2026;07/09/2027;CMP-2026-OUT;PACK-2027;96,00;48000,00;4,00;Reception counter, product shelves and a lockable store. Artwork to follow from the agency.
OP001253;CO002508;CO002508-P01;Corner stand with demonstration counter;40800,00; proposal ;19/06/2026;17/09/2027;CMP-2026-OUT;LIVING-2027;96,00;40800,00;4,00;Demonstration counter at the front. Power requirements to be confirmed by the exhibitor.
OP001254;CO000427;CO000427-P01;Reuse of last edition's stand;28000,00; qualified ;28/03/2026;13/11/2027;;FOOD-2027;80,00;25200,00;4,00;Display cases and a small store. Budget covers design, fabrication, installation and dismantling.
OP001255;CO008346;CO008346-P01;Two-brand stand with shared reception;19200,00;WON;23/02/2024;13/05/2024;CMP-2024-WEB;BEAUTY-2024;24,00;21120,00;3,50;Demonstration counter at the front. Power requirements to be confirmed by the exhibitor.
OP001256;CO006265;CO006265-P01;Stand refurbishment and installation;60000,00;Won;03/02/2024;28/08/2024;CMP-2025-REF;PACK-2024;120,00;66000,00;4,00;Display cases and a small store. Budget covers design, fabrication, installation and dismantling.
OP001257;CO004184;CO004184-P01;Corner stand with demonstration counter;80000,00;Lost;03/06/2024;27/09/2024;CMP-2025-EVENT;LIVING-2024;160,00;72000,00;3,50;Shared reception for two brands, with separate graphics. One invoice to the main exhibitor.
OP001258;CO002103;;Custom stand for product launch;38400,00;Lost;25/08/2024;08/11/2024;CMP-2026-OUT;FOOD-2024;;34560,00;3,50;Meeting area and illuminated backdrop. Keep the graphics reusable for the next edition.
OP001259;CO000022;CO000022-P02;Corner stand with demonstration counter;42000,00; lost ;17/11/2024;01/05/2025;CMP-2025-EVENT;BEAUTY-2025;120,00;37800,00;4,00;Display cases and a small store. Budget covers design, fabrication, installation and dismantling.
OP001260;CO007941;CO007941-P01;Custom stand for product launch;56000,00; lost ;22/03/2025;24/08/2025;CMP-2024-WEB;PACK-2025;160,00;50400,00;4,00;Shared reception for two brands, with separate graphics. One invoice to the main exhibitor.
OP001261;CO005860;CO005860-P02;Corner stand with demonstration counter;20400,00;WON;08/08/2025;14/10/2025;CMP-2025-EVENT;LIVING-2025;48,00;18360,00;3,50;Reception counter, product shelves and a lockable store. Artwork to follow from the agency.
OP001262;CO003779;CO003779-P03;Custom stand for product launch;68000,00; lost ;13/04/2025;17/10/2025;CMP-2026-OUT;FOOD-2025;160,00;74800,00;4,00;Reception counter, product shelves and a lockable store. Artwork to follow from the agency.
OP001263;CO001698;CO001698-P01;Stand refurbishment and installation;48000,00;WON;07/01/2026;19/05/2026;CMP-2025-EVENT;BEAUTY-2026;96,00;52800,00;4,00;Display cases and a small store. Budget covers design, fabrication, installation and dismantling.
OP001264;CO009617;CO009617-P02;Two-brand stand with shared reception;25600,00;Lost;14/04/2026;31/08/2026;CMP-2024-WEB;PACK-2026;32,00;28160,00;3,00;Meeting area and illuminated backdrop. Keep the graphics reusable for the next edition.
OP001265;CO007536;CO007536-P01;Stand refurbishment and installation;64000,00;Lost;01/06/2026;25/10/2026;CMP-2025-EVENT;LIVING-2026;80,00;64000,00;3,00;Reception counter, product shelves and a lockable store. Artwork to follow from the agency.
OP001266;CO005455;CO005455-P01;Corner stand with demonstration counter;28000,00; open ;16/03/2026;31/10/2026;CMP-2025-REF;FOOD-2026;80,00;25200,00;4,00;Meeting area and illuminated backdrop. Keep the graphics reusable for the next edition.
OP001267;CO003374;CO003374-P02;Exhibition stand with lockable storage;102000,00; lost ;31/05/2026;27/05/2027;CMP-2024-WEB;BEAUTY-2027;240,00;91800,00;3,50;Display cases and a small store. Budget covers design, fabrication, installation and dismantling.
OP001268;CO001293;CO001293-P01;Exhibition stand with lockable storage;48000,00;Qualified;19/05/2026;27/09/2027;CMP-2025-EVENT;PACK-2027;96,00;52800,00;3,00;Shared reception for two brands, with separate graphics. One invoice to the main exhibitor.
OP001269;CO009212;CO009212-P01;Two-brand stand with shared reception;68000,00;Qualified;06/04/2026;21/10/2027;CMP-2026-OUT;LIVING-2027;160,00;74800,00;4,00;Reception counter, product shelves and a lockable store. Artwork to follow from the agency.
OP001270;CO007131;CO007131-P01;Island stand for distributor meetings;51200,00;WON;29/04/2026;19/10/2027;CMP-2025-REF;FOOD-2027;64,00;46080,00;4,00;Reception counter, product shelves and a lockable store. Artwork to follow from the agency.
OP001271;CO005050;CO005050-P02;Reuse of last edition's stand;31200,00;Won;09/11/2023;07/05/2024;CMP-2024-WEB;BEAUTY-2024;48,00;;3,00;Reception counter, product shelves and a lockable store. Artwork to follow from the agency.
OP001272;CO002969;CO002969-P01;Two-brand stand with shared reception;16000,00;Won;15/06/2024;21/09/2024;;PACK-2024;32,00;14400,00;3,50;Shared reception for two brands, with separate graphics. One invoice to the main exhibitor.
OP001273;CO000888;CO000888-P01;Reuse of last edition's stand;51200,00; lost ;21/04/2024;22/10/2024;CMP-2025-EVENT;LIVING-2024;64,00;56320,00;3,00;Shared reception for two brands, with separate graphics. One invoice to the main exhibitor.
OP001274;CO008807;CO008807-P03;Reuse of last edition's stand;32000,00; lost ;30/03/2024;22/11/2024;CMP-2026-OUT;FOOD-2024;64,00;35200,00;4,00;Display cases and a small store. Budget covers design, fabrication, installation and dismantling.
OP001275;CO006726;;Custom stand for product launch;96000,00;Won;01/11/2024;04/06/2025;CMP-2025-REF;BEAUTY-2025;120,00;86400,00;3,50;Reception counter, product shelves and a lockable store. Artwork to follow from the agency.
OP001276;CO004645;CO004645-P01;Corner stand with demonstration counter;32000,00;WON;05/06/2025;;CMP-2024-WEB;PACK-2025;64,00;28800,00;3,50;Demonstration counter at the front. Power requirements to be confirmed by the exhibitor.
OP001277;CO002564;CO002564-P03;Exhibition stand with lockable storage;96000,00; lost ;18/03/2025;28/10/2025;;LIVING-2025;120,00;86400,00;3,50;Demonstration counter at the front. Power requirements to be confirmed by the exhibitor.
OP001278;CO000483;CO000483-P01;Stand refurbishment and installation;40800,00;Lost;24/06/2025;28/10/2025;CMP-2024-WEB;FOOD-2025;96,00;36720,00;3,50;Demonstration counter at the front. Power requirements to be confirmed by the exhibitor.
OP001279;CO008402;CO008402-P02;Stand refurbishment and installation;51000,00;WON;10/10/2025;07/06/2026;CMP-2025-EVENT;BEAUTY-2026;120,00;45900,00;3,00;Shared reception for two brands, with separate graphics. One invoice to the main exhibitor.
OP001280;CO006321;CO006321-P01;Custom stand for product launch;56000,00;Qualified;10/04/2026;04/10/2026;CMP-2024-WEB;PACK-2026;160,00;50400,00;4,00;Shared reception for two brands, with separate graphics. One invoice to the main exhibitor.
OP001281;CO004240;CO004240-P02;Two-brand stand with shared reception;28000,00;Open;20/04/2026;21/09/2026;CMP-2025-REF;LIVING-2026;80,00;25200,00;3,00;Reception counter, product shelves and a lockable store. Artwork to follow from the agency.
OP001282;CO002159;CO002159-P02;Modular stand with new graphics;24000,00; qualified ;26/02/2026;23/10/2026;CMP-2025-EVENT;FOOD-2026;48,00;26400,00;4,00;Shared reception for two brands, with separate graphics. One invoice to the main exhibitor.
OP001283;CO000078;CO000078-P01;Two-brand stand with shared reception;31200,00;WON;02/07/2026;27/05/2027;;BEAUTY-2027;48,00;34320,00;3,50;Shared reception for two brands, with separate graphics. One invoice to the main exhibitor.
OP001284;CO007997;CO007997-P01;Stand refurbishment and installation;40000,00;Won;03/05/2026;05/10/2027;;PACK-2027;80,00;36000,00;3,50;Display cases and a small store. Budget covers design, fabrication, installation and dismantling.
OP001285;CO005916;CO005916-P01;Reuse of last edition's stand;25600,00;OPEN;02/07/2026;22/10/2027;CMP-2026-OUT;LIVING-2027;32,00;25600,00;4,00;Reception counter, product shelves and a lockable store. Artwork to follow from the agency.
OP001286;CO003835;CO003835-P01;Stand refurbishment and installation;48000,00;Open;02/03/2026;02/11/2027;CMP-2026-OUT;FOOD-2027;96,00;43200,00;3,00;Meeting area and illuminated backdrop. Keep the graphics reusable for the next edition.
OP001287;CO001754;CO001754-P01;Corner stand with demonstration counter;96000,00;Won;13/11/2023;30/04/2024;CMP-2024-WEB;BEAUTY-2024;120,00;105600,00;3,50;Reception counter, product shelves and a lockable store. Artwork to follow from the agency.
OP001288;CO009673;CO009673-P01;Two-brand stand with shared reception;51200,00;Won;13/06/2024;02/10/2024;CMP-2026-OUT;PACK-2024;64,00;51200,00;3,00;Shared reception for two brands, with separate graphics. One invoice to the main exhibitor.
OP001289;CO007592;CO007592-P03;Custom stand for product launch;104000,00;Won;19/04/2024;21/09/2024;CMP-2025-EVENT;LIVING-2024;160,00;114400,00;3,00;Reception counter, product shelves and a lockable store. Artwork to follow from the agency.
OP001290;CO005511;CO005511-P01;Custom stand for product launch;104000,00;Won;29/06/2024;20/10/2024;;FOOD-2024;160,00;93600,00;;Two open meeting tables, sample display and storage. Client wants to reuse last year's furniture.
OP001291;CO003430;CO003430-P02;Reuse of last edition's stand;42000,00;Lost;28/09/2024;28/04/2025;CMP-2026-OUT;BEAUTY-2025;120,00;46200,00;4,00;Demonstration counter at the front. Power requirements to be confirmed by the exhibitor.
OP001292;CO001349;;Stand refurbishment and installation;78000,00;WON;13/06/2025;07/09/2025;;PACK-2025;120,00;85800,00;3,00;Display cases and a small store. Budget covers design, fabrication, installation and dismantling.
OP001293;CO009268;CO009268-P02;Modular stand with new graphics;40800,00;WON;23/03/2025;11/10/2025;CMP-2025-EVENT;LIVING-2025;96,00;36720,00;4,00;Meeting area and illuminated backdrop. Keep the graphics reusable for the next edition.
OP001294;CO007187;CO007187-P02;Custom stand for product launch;10200,00; lost ;12/07/2025;17/11/2025;CMP-2024-WEB;FOOD-2025;24,00;10200,00;4,00;Meeting area and illuminated backdrop. Keep the graphics reusable for the next edition.
OP001295;CO005106;CO005106-P01;Corner stand with demonstration counter;96000,00; lost ;28/01/2026;09/05/2026;CMP-2025-EVENT;BEAUTY-2026;;105600,00;3,50;Two open meeting tables, sample display and storage. Client wants to reuse last year's furniture.
OP001296;CO003025;CO003025-P01;Island stand for distributor meetings;76800,00;Proposal;21/05/2026;28/09/2026;CMP-2026-OUT;PACK-2026;96,00;84480,00;3,50;Display cases and a small store. Budget covers design, fabrication, installation and dismantling.
OP001297;CO000944;CO000944-P02;Reuse of last edition's stand;20800,00;QUALIFIED;11/05/2026;18/10/2026;CMP-2025-EVENT;LIVING-2026;32,00;22880,00;4,00;Reception counter, product shelves and a lockable store. Artwork to follow from the agency.
OP001298;CO008863;CO008863-P01;Modular stand with new graphics;10200,00;OPEN;15/05/2026;21/11/2026;;FOOD-2026;24,00;11220,00;4,00;Display cases and a small store. Budget covers design, fabrication, installation and dismantling.
OP001299;CO006782;CO006782-P01;Custom stand for product launch;76800,00;Proposal;13/04/2026;08/06/2027;;BEAUTY-2027;96,00;84480,00;3,00;Meeting area and illuminated backdrop. Keep the graphics reusable for the next edition.
OP001300;CO004701;CO004701-P01;Corner stand with demonstration counter;20800,00; qualified ;13/05/2026;25/09/2027;;PACK-2027;32,00;18720,00;3,50;Display cases and a small store. Budget covers design, fabrication, installation and dismantling.
OP001301;CO002620;CO002620-P02;Two-brand stand with shared reception;16000,00; proposal ;10/05/2026;13/10/2027;;LIVING-2027;32,00;16000,00;3,00;Two open meeting tables, sample display and storage. Client wants to reuse last year's furniture.
OP001302;CO000539;CO000539-P01;Exhibition stand with lockable storage;120000,00;WON;07/05/2026;23/10/2027;CMP-2024-WEB;FOOD-2027;240,00;120000,00;4,00;Reception counter, product shelves and a lockable store. Artwork to follow from the agency.
OP001303;CO008458;CO008458-P02;Custom stand for product launch;80000,00;Won;03/10/2023;17/05/2024;CMP-2026-OUT;BEAUTY-2024;160,00;72000,00;3,00;Two open meeting tables, sample display and storage. Client wants to reuse last year's furniture.
OP001304;CO006377;CO006377-P03;Stand refurbishment and installation;31200,00;Lost;14/04/2024;14/09/2024;CMP-2025-EVENT;PACK-2024;48,00;34320,00;3,50;Meeting area and illuminated backdrop. Keep the graphics reusable for the next edition.
OP001305;CO004296;CO004296-P01;Reuse of last edition's stand;22400,00;WON;08/05/2024;;;LIVING-2024;64,00;24640,00;3,00;Meeting area and illuminated backdrop. Keep the graphics reusable for the next edition.
OP001306;CO002215;CO002215-P01;Exhibition stand with lockable storage;128000,00; lost ;22/08/2024;18/11/2024;CMP-2025-REF;FOOD-2024;160,00;128000,00;4,00;Two open meeting tables, sample display and storage. Client wants to reuse last year's furniture.
OP001307;CO000134;CO000134-P03;Custom stand for product launch;12000,00; lost ;04/11/2024;12/05/2025;CMP-2024-WEB;BEAUTY-2025;24,00;13200,00;3,00;Display cases and a small store. Budget covers design, fabrication, installation and dismantling.
OP001308;CO008053;CO008053-P01;Exhibition stand with lockable storage;12000,00;Won;18/03/2025;24/08/2025;CMP-2024-WEB;PACK-2025;24,00;12000,00;3,00;Demonstration counter at the front. Power requirements to be confirmed by the exhibitor.
OP001309;CO005972;;Two-brand stand with shared reception;48000,00;Won;18/06/2025;10/10/2025;CMP-2026-OUT;LIVING-2025;96,00;43200,00;3,50;Shared reception for two brands, with separate graphics. One invoice to the main exhibitor.
OP001310;CO003891;CO003891-P01;Custom stand for product launch;20400,00;Lost;17/07/2025;27/10/2025;CMP-2025-REF;FOOD-2025;48,00;22440,00;3,00;Display cases and a small store. Budget covers design, fabrication, installation and dismantling.
OP001311;CO001810;CO001810-P02;Corner stand with demonstration counter;20800,00;Lost;19/10/2025;03/06/2026;CMP-2024-WEB;BEAUTY-2026;32,00;20800,00;3,50;Meeting area and illuminated backdrop. Keep the graphics reusable for the next edition.
OP001312;CO009729;CO009729-P01;Island stand for distributor meetings;19200,00;OPEN;22/03/2026;07/09/2026;CMP-2025-EVENT;PACK-2026;24,00;;3,50;Shared reception for two brands, with separate graphics. One invoice to the main exhibitor.
OP001313;CO007648;CO007648-P02;Custom stand for product launch;22400,00;OPEN;10/06/2026;09/10/2026;CMP-2025-REF;LIVING-2026;64,00;20160,00;3,50;Demonstration counter at the front. Power requirements to be confirmed by the exhibitor.
OP001314;CO005567;CO005567-P01;Stand refurbishment and installation;16000,00;OPEN;30/07/2026;19/11/2026;CMP-2024-WEB;FOOD-2026;32,00;16000,00;3,00;Shared reception for two brands, with separate graphics. One invoice to the main exhibitor.
OP001315;CO003486;CO003486-P01;Stand refurbishment and installation;41600,00;Won;16/06/2026;13/05/2027;CMP-2026-OUT;BEAUTY-2027;64,00;37440,00;3,50;Meeting area and illuminated backdrop. Keep the graphics reusable for the next edition.
OP001316;CO001405;CO001405-P01;Modular stand with new graphics;8400,00;Qualified;07/04/2026;17/09/2027;CMP-2025-EVENT;PACK-2027;24,00;7560,00;3,50;Demonstration counter at the front. Power requirements to be confirmed by the exhibitor.
OP001317;CO009324;CO009324-P01;Reuse of last edition's stand;52000,00; open ;29/07/2026;19/10/2027;CMP-2025-REF;LIVING-2027;80,00;46800,00;3,50;Display cases and a small store. Budget covers design, fabrication, installation and dismantling.
OP001318;CO007243;CO007243-P01;Exhibition stand with lockable storage;15600,00; proposal ;09/08/2026;11/11/2027;;FOOD-2027;24,00;17160,00;4,00;Reception counter, product shelves and a lockable store. Artwork to follow from the agency.
OP001319;CO005162;CO005162-P03;Two-brand stand with shared reception;78000,00;Lost;18/12/2023;06/05/2024;CMP-2024-WEB;BEAUTY-2024;120,00;70200,00;3,50;Display cases and a small store. Budget covers design, fabrication, installation and dismantling.
OP001320;CO003081;CO003081-P01;Corner stand with demonstration counter;56000,00;Won;11/04/2024;29/08/2024;;PACK-2024;160,00;50400,00;3,50;Shared reception for two brands, with separate graphics. One invoice to the main exhibitor.
OP001321;CO001000;CO001000-P02;Reuse of last edition's stand;62400,00;WON;05/08/2024;26/09/2024;CMP-2025-EVENT;LIVING-2024;96,00;68640,00;4,00;Demonstration counter at the front. Power requirements to be confirmed by the exhibitor.
OP001322;CO008919;CO008919-P01;Island stand for distributor meetings;16000,00;WON;29/07/2024;19/11/2024;CMP-2024-WEB;FOOD-2024;32,00;16000,00;4,00;Display cases and a small store. Budget covers design, fabrication, installation and dismantling.
OP001323;CO006838;CO006838-P02;Exhibition stand with lockable storage;156000,00;Won;13/01/2025;15/05/2025;;BEAUTY-2025;240,00;140400,00;4,00;Reception counter, product shelves and a lockable store. Artwork to follow from the agency.
OP001324;CO004757;CO004757-P02;Custom stand for product launch;78000,00; lost ;11/07/2025;05/10/2025;CMP-2026-OUT;PACK-2025;120,00;85800,00;3,00;Demonstration counter at the front. Power requirements to be confirmed by the exhibitor.
OP001325;CO002676;CO002676-P01;Custom stand for product launch;8400,00;Won;04/05/2025;30/09/2025;;LIVING-2025;24,00;8400,00;3,50;Meeting area and illuminated backdrop. Keep the graphics reusable for the next edition.
OP001326;CO000595;;Custom stand for product launch;64000,00;Lost;29/05/2025;02/11/2025;CMP-2025-EVENT;FOOD-2025;80,00;64000,00;3,00;Meeting area and illuminated backdrop. Keep the graphics reusable for the next edition.
OP001327;CO008514;CO008514-P01;Island stand for distributor meetings;40800,00;Won;23/02/2026;07/06/2026;CMP-2025-EVENT;BEAUTY-2026;96,00;36720,00;3,00;Display cases and a small store. Budget covers design, fabrication, installation and dismantling.
OP001328;CO006433;CO006433-P01;Two-brand stand with shared reception;96000,00;Won;13/03/2026;21/09/2026;CMP-2025-REF;PACK-2026;120,00;105600,00;3,00;Meeting area and illuminated backdrop. Keep the graphics reusable for the next edition.
OP001329;CO004352;CO004352-P01;Two-brand stand with shared reception;16000,00;QUALIFIED;28/04/2026;18/10/2026;CMP-2024-WEB;LIVING-2026;32,00;17600,00;3,00;Shared reception for two brands, with separate graphics. One invoice to the main exhibitor.
OP001330;CO002271;CO002271-P01;Corner stand with demonstration counter;33600,00; open ;06/05/2026;18/11/2026;;FOOD-2026;96,00;30240,00;4,00;Meeting area and illuminated backdrop. Keep the graphics reusable for the next edition.
OP001331;CO000190;CO000190-P02;Modular stand with new graphics;156000,00; proposal ;14/05/2026;05/06/2027;CMP-2025-EVENT;BEAUTY-2027;240,00;171600,00;4,00;Demonstration counter at the front. Power requirements to be confirmed by the exhibitor.
OP001332;CO008109;CO008109-P01;Custom stand for product launch;40000,00;WON;21/04/2026;27/08/2027;CMP-2025-EVENT;PACK-2027;;36000,00;4,00;Two open meeting tables, sample display and storage. Client wants to reuse last year's furniture.
OP001333;CO006028;CO006028-P02;Custom stand for product launch;24000,00;Proposal;14/03/2026;14/10/2027;CMP-2026-OUT;LIVING-2027;48,00;24000,00;;Reception counter, product shelves and a lockable store. Artwork to follow from the agency.
OP001334;CO003947;CO003947-P03;Island stand for distributor meetings;31200,00;Lost;10/05/2026;;CMP-2026-OUT;FOOD-2027;48,00;28080,00;3,50;Two open meeting tables, sample display and storage. Client wants to reuse last year's furniture.
OP001335;CO001866;CO001866-P01;Island stand for distributor meetings;51200,00;Lost;03/12/2023;06/05/2024;CMP-2025-EVENT;BEAUTY-2024;64,00;46080,00;4,00;Demonstration counter at the front. Power requirements to be confirmed by the exhibitor.
OP001336;CO009785;CO009785-P02;Stand refurbishment and installation;120000,00;Lost;22/06/2024;26/08/2024;CMP-2025-REF;PACK-2024;240,00;132000,00;4,00;Demonstration counter at the front. Power requirements to be confirmed by the exhibitor.
OP001337;CO007704;CO007704-P01;Custom stand for product launch;76800,00;Lost;18/03/2024;28/10/2024;CMP-2024-WEB;LIVING-2024;96,00;69120,00;3,00;Shared reception for two brands, with separate graphics. One invoice to the main exhibitor.
OP001338;CO005623;CO005623-P01;Exhibition stand with lockable storage;32000,00;WON;07/08/2024;10/10/2024;CMP-2024-WEB;FOOD-2024;64,00;28800,00;3,00;Demonstration counter at the front. Power requirements to be confirmed by the exhibitor.
OP001339;CO003542;CO003542-P02;Custom stand for product launch;104000,00;Won;02/10/2024;08/05/2025;;BEAUTY-2025;160,00;104000,00;3,50;Two open meeting tables, sample display and storage. Client wants to reuse last year's furniture.
